DATE,Beautification Daily Log_Date,Beautification Daily Log_Location (cross streets),Beautification Daily Log_How many POUNDS of garbage collected? (number only),Beautification Daily Log_Sum,Beautification Daily Log_Percentage of total,Metro Cost_Weight_Date,Metro Cost_Weight_Pounds,Metro Cost_Weight_Cost,Metro Cost_Weight_Sum,Metro Cost_Weight_Percentage of total,APPROX SITE WEIGHT,CITY,STATE,ZIP
2/9/2022,2/9/2022,0,0,0,0,2/9/2022,1980,129,6580,0.3,0,0,0,0
2/9/2022,2/9/2022,0,0,0,0,2/9/2022,4600,280,6580,0.7,0,0,0,0
2/10/2022,2/10/2022,0,0,0,0,2/10/2022,2560,162,6040,0.42,0,0,0,0
2/10/2022,2/10/2022,0,0,0,0,2/10/2022,3480,215,6040,0.58,0,0,0,0
2/14/2022,2/14/2022,0,0,0,0,2/14/2022,760,53,5540,0.14,0,0,0,0
2/14/2022,2/14/2022,0,0,0,0,2/14/2022,1960,128,5540,0.35,0,0,0,0
2/14/2022,2/14/2022,0,0,0,0,2/14/2022,2820,177,5540,0.51,0,0,0,0
2/15/2022,2/15/2022,0,0,0,0,2/15/2022,1920,125,7580,0.25,0,0,0,0
2/15/2022,2/15/2022,0,0,0,0,2/15/2022,2540,161,7580,0.34,0,0,0,0
2/15/2022,2/15/2022,0,0,0,0,2/15/2022,3120,194,7580,0.41,0,0,0,0
2/17/2022,2/17/2022,0,0,0,0,2/17/2022,980,71,2520,0.39,0,0,0,0
2/17/2022,2/17/2022,0,0,0,0,2/17/2022,1540,103,2520,0.61,0,0,0,0
2/18/2022,2/18/2022,0,0,0,0,2/18/2022,3740,230,3740,1,0,0,0,0
2/21/2022,2/21/2022,0,0,0,0,2/21/2022,1640,109,4560,0.36,0,0,0,0
2/21/2022,2/21/2022,0,0,0,0,2/21/2022,2920,183,4560,0.64,0,0,0,0
2/22/2022,2/22/2022,0,0,0,0,2/22/2022,2080,135,4760,0.44,0,0,0,0
2/22/2022,2/22/2022,0,0,0,0,2/22/2022,2680,169,4760,0.56,0,0,0,0
2/23/2022,2/23/2022,0,0,0,0,2/23/2022,1600,107,4240,0.38,0,0,0,0
2/23/2022,2/23/2022,0,0,0,0,2/23/2022,2640,167,4240,0.62,0,0,0,0
2/24/2022,2/24/2022,0,0,0,0,2/24/2022,1160,82,1160,1,0,0,0,0
2/28/2022,2/28/2022,0,0,0,0,2/28/2022,2000,130,4980,0.4,0,0,0,0
2/28/2022,2/28/2022,0,0,0,0,2/28/2022,2980,186,4980,0.6,0,0,0,0
3/1/2022,3/1/2022,0,0,0,0,3/1/2022,2580,163,5200,0.5,0,0,0,0
3/1/2022,3/1/2022,0,0,0,0,3/1/2022,2620,166,5200,0.5,0,0,0,0
3/3/2022,3/3/2022,0,0,0,0,3/3/2022,3660,225,7380,0.5,0,0,0,0
3/3/2022,3/3/2022,0,0,0,0,3/3/2022,3720,229,7380,0.5,0,0,0,0
3/7/2022,3/7/2022,0,0,0,0,3/7/2022,2680,169,6580,0.41,0,0,0,0
